USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
Yineisy Mota#1449,0x5a227e2919a49f9d4698e9fd2b318efcd0f16bda,255.19848771266544,8.615384615384617,8.0,0.0,263.8138723280501
mafer_cordovas#1034,0xd5288ed50a195017e5b30595f65091a7767817a4,217.3794896030246,15.076923076923078,14.0,0.0,232.45641267994768
ALOYSIOUS#3049,missing user address,200.86247637051042,0.0,0.0,0.0,200.86247637051042
logonaut.eth#9437,0xb0ccf43ada6cbaa26dcf4907117b496d49f74242,146.1365784499055,0.0,0.0,0.0,146.1365784499055
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,22.436200378071838,0.0,0.0,0.0,22.436200378071838
RachaelMalachy#5837,0xa15150d172ba951b4e5a20b2ca3cc0cb0d77d125,0.0,15.076923076923078,14.0,0.0,15.076923076923078
usamaahmed#9991,0xed23b82a6b1b0d2e75b87c01b0fdc7fcfb49f456,0.0,14.0,13.0,0.0,14.0
shawn#7046,missing user address,11.838374291115313,0.0,0.0,0.0,11.838374291115313
Ekeneodigwe#1502,missing user address,11.838374291115313,0.0,0.0,0.0,11.838374291115313
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,0.0,8.615384615384617,8.0,0.0,8.615384615384617
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,0.0,8.615384615384617,8.0,0.0,8.615384615384617
Leanne#9678,missing user address,7.088846880907374,0.0,0.0,0.0,7.088846880907374
MS#4235,missing user address,5.919187145557657,0.0,0.0,0.0,5.919187145557657
thiago.rossi#1714,missing user address,5.919187145557657,0.0,0.0,0.0,5.919187145557657
omniharmonic#7096,missing user address,5.919187145557657,0.0,0.0,0.0,5.919187145557657
Shaun#4583,missing user address,5.919187145557657,0.0,0.0,0.0,5.919187145557657
missing username,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,0.0,0.0,0.0,3.75,3.75
missing username,0xa32aecda752cf4ef89956e83d60c04835d4fa867,0.0,0.0,0.0,3.75,3.75
missing username,0x00d18ca9782be1caef611017c2fbc1a39779a57c,0.0,0.0,0.0,3.75,3.75
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,3.75,3.75
missing username,0xb22981ba3fe1de2325935c91a3b717168fb86714,0.0,0.0,0.0,3.75,3.75
missing username,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,0.0,0.0,0.0,3.75,3.75
missing username,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,0.0,0.0,0.0,3.75,3.75
missing username,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,0.0,0.0,0.0,3.75,3.75
captnseagraves#0891,missing user address,3.544423440453687,0.0,0.0,0.0,3.544423440453687
